baseline,metric,mean_paired_difference,bootstrap_mean,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_seed,n_bootstrap,resampling_design,difference_direction
stytr2,ssim,0.082562971301376825,0.08249382398934943,0.067572966335574164,0.097787854511523609,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
stytr2,lpips,0.10422169582918286,0.10428523030784541,0.089393596919253471,0.1205121426959522,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
stytr2,e_ssim,0.13511888920520126,0.13510581650547684,0.11708766275520106,0.1536722644288164,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
stytr2,l_c,0.69158371511846783,0.69216788755458214,0.59644936082325883,0.79580450922250745,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
stytr2,l_s,0.45034633588045836,0.44964262665289273,0.28428536844998598,0.6276391059849411,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
adain,ssim,0.27385623169131579,0.27358611050457132,0.23789776498381979,0.30979116204660384,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
adain,lpips,0.1736048342101276,0.17364849362351187,0.15478926608245819,0.19316403486905617,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
adain,e_ssim,0.2932953211177351,0.29311634291804184,0.25954864230102537,0.32571432005643708,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
adain,l_c,1.1086824898794294,1.1092376078104338,0.96917988812550904,1.2457630199939012,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
adain,l_s,0.29736519787460564,0.29697344587096575,0.12834342781454325,0.47820895261969421,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
sanet,ssim,0.24473574885167182,0.24445295081148852,0.21080530523625204,0.27859027894563043,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
sanet,lpips,0.16659983353689312,0.1665820582397636,0.14550009568315,0.18835522506013511,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
sanet,e_ssim,0.26655512976057189,0.26642013272476261,0.23010149578726094,0.30174704173123623,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
sanet,l_c,0.96869119603186848,0.96897056586771835,0.86220331218466162,1.0758739765342324,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
sanet,l_s,0.31513502404093741,0.31576222668540477,0.19311824622098359,0.44260345329530537,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
cast,ssim,0.12910547759383917,0.12893208586340305,0.1072560786656104,0.15242982588289306,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
cast,lpips,0.1478102026693523,0.14788690484901704,0.1168511892235838,0.19241490138601511,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
cast,e_ssim,0.17435903998456326,0.17430602669732029,0.14502007130755754,0.20398445498801246,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
cast,l_c,0.90518995258957147,0.90547078300922734,0.77705525729246427,1.0305720163304359,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
cast,l_s,1.4269324741885065,1.4248521045089626,0.84524923121556639,2.1668533447943621,20260901,10000,two-factor crossed content/style bootstrap,positive = CC-StyTr better
