method,cell,content,style,hit
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000001818,Abstract_Expressionism__paul-jenkins_not_detected_235703,0
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000001818,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0
ccstytr,000000001818__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000001818,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0
ccstytr,000000001818__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000001818,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0
ccstytr,000000001818__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000001818,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0
ccstytr,000000001818__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000001818,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0
ccstytr,000000001818__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000001818,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0
ccstytr,000000001818__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000001818,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0
ccstytr,000000001818__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000001818,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,0
ccstytr,000000001818__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000001818,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0
ccstytr,000000001818__Minimalism__mario-schifano_untitled-1963,000000001818,Minimalism__mario-schifano_untitled-1963,0
ccstytr,000000001818__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000001818,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0
ccstytr,000000001818__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000001818,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0
ccstytr,000000001818__Pop_Art__peter-max_composition-red-green-1979,000000001818,Pop_Art__peter-max_composition-red-green-1979,0
ccstytr,000000001818__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000001818,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,0
ccstytr,000000001818__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000001818,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),1
ccstytr,000000001818__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000001818,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0
ccstytr,000000001818__Romanticism__gustave-dore_paradise-lost-4,000000001818,Romanticism__gustave-dore_paradise-lost-4,0
ccstytr,000000001818__Symbolism__nicholas-roerich_language-of-forest-1922,000000001818,Symbolism__nicholas-roerich_language-of-forest-1922,0
ccstytr,000000001818__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000001818,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000009448,Abstract_Expressionism__paul-jenkins_not_detected_235703,0
