rank,content_id,english_letters,english_words,english_share,has_text_and_logo_boxes,ocr_text
1,3735,352,48,0.9312,True,"ORALE 32BillionCFU 32 Billion CFU CFU Probiotic ace BroadSpectrum Probiotic Broad Spectrum Probiotid life.space lifespace life.space life-space 抢！买2减50 肠胃不适便秘专用 life.space life.space life.space Broad Spectrum Probiotic BroadSpectrum Probiotic Probiotic CFU thymicrobong,sytay 32 BilionCFU 32BillionCFU pergram batenalswroh oten per gram VDER60g -Eozages good bactenaldvesy FOPROSNOTICS ORALPO Naseddiyerguen HATURALLY SO ORALPOWDER60g"
2,857,109,20,0.8934,True,HAKEHANBEI 夏季新品 一家每日必逛的店铺 -Minimalism Foshion is orchitechure it hos fo do with proportion Alwoys sinpie not redundont bos to do with proportion
3,7692,232,27,0.8923,True,lapramol+ 狂暑季 Switzerland 轻享焕颜家享SPA 立即抢购> lapramol &Sohuning Leon &Adouriate ap lapranol srlend ramo Switzerlend PureCavtir Revtahting Essence Lotisn HdrtingaCearng Lotion Estentielrs Latige.Riperatrice Rupair Lacos Revtsissme Au Pur Caviar Hydcree&Eorchsarm 4.2FLOZ./120mle 4.2FLOZ.120mle 4.2FLOZ/120mle
4,9145,108,15,0.8852,True,"关节痛？ 吃这个试试 补软骨护关节 HUESOS EPAPLUS Arthicare +Calc Colageno Silicio Ac.Hialuronico Magnesio CITAMINA D,IZYFOSFORO Acti INSTANT EPAPLUS Arthicare"
5,5500,216,24,0.8571,True,"Kiohl's 品牌年度会员日 无限回购 美白淡痘印 订50ml到手74ml 淡斑安白瓶 立即预订> KIEHS DERMATOLOGIST SOLUTIOSS. ClearlyCorrective Dark Spot Solution Clinically-Derbonstrdited* to Help CorectDarkSpots andDiscoloratioes For Visible Correction and Clanigy. withaPorenrComplexof Activared C, White Birch and Peoty 1.7floz.-50ml"
6,6586,86,5,0.8431,True,"paulfrank 儿童卡通潮牌短袖T 专注3-12岁童装 Hello SHAPRED,RICHCOLORISFULLOFREFRESHINGATMOSPOF T-SHIRTBODYPRINREDONTHEPATTERN"
7,1582,151,22,0.8118,True,life-space 宝宝便秘闹肚子？ 每天1勺，有它不怕！ life.space life.space life.space Baby iotic Probic Baby pace Probiotic Powderfor Baby 7.5BilionCE 6 months -3 years 7.5BillionCFU 10 pergram -Mainta'ta C. 44824 84945 ond immzne AITLNORALPOWDER60g
8,5022,16,2,0.8000,True,BEAUTIGO BEAUTIGO 快速脱毛
9,8125,146,19,0.7935,True,"VANICREAM 官方旗舰店 薇霓肌本 深彻清洁 清爽控油 一买2享3一 DERMAIOLOGST TETID FREE & 买2享3 CLEAR 赠洁面巾30抽 Liquid Cleanser Senaiive Sth Free of dyes, frogrance. mastingfrograncelonoln parcbons,fomcidehyde Sufato-froo · Betaine-heo 8fl oz (237mL)"
10,9858,47,8,0.7705,True,POPMART 玩心无限 潮酷GIRL SKULLPANOA熊喵热潮系列 PICK POP ME MAR SPSP POP 02 POPMART
11,2594,71,11,0.7553,True,DECORTE DECORTE 'SUN SHELTER Multi Protection Sunscreen -fcran Solaire 50 PA+ MEDRCORTE 会员享9件美肌礼 肌肤“遮阳伞”无惧日晒 立即抢购>
