baseline,metric,n,beta_estimate,standard_error,ci95_low,ci95_high,z_statistic,raw_p,content_random_effect_variance,style_random_effect_variance,residual_variance,reml_log_likelihood,converged,optimizer,warnings,difference_direction,statsmodels_version
stytr2,ssim,800,0.082562971301374258,0.0077790777891539884,0.067315978834632445,0.097809963768116071,10.613465186900179,2.5799949347508447e-26,0.00031650233608577312,0.0010407966295494281,0.0004493290960763127,1846.1269640423143,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
stytr2,lpips,800,0.10422169582917928,0.0080151832392610714,0.088511936680227582,0.11993145497813099,13.003033457634039,1.1758491408797147e-38,0.00050106385576818944,0.0010202477307745916,0.0005633435407968022,1753.8178907068705,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
stytr2,e_ssim,800,0.13511888920520154,0.0092300044809731502,0.11702808042249417,0.15320969798790893,14.639092481887452,1.5816524892948763e-48,0.001291340794253184,0.001016158414375583,0.0016812337149402562,1329.8749598814384,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
stytr2,l_c,800,0.69158371511853689,0.051856033865765719,0.58994588874163612,0.79322154149543767,13.336610295125292,1.4176024902089601e-40,0.0124330881557619,0.047283430386194057,0.011239620066993358,546.0095953306959,True,lbfgs,,positive = CC-StyTr better,0.14.6
stytr2,l_s,800,0.45034633588052592,0.090340682269398231,0.27327859863250537,0.62741407312854647,4.9849782464292396,6.1968784572605221e-07,0.0055720307674586526,0.15986806772458662,0.022987773987027348,282.21555489153843,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
adain,ssim,800,0.27385623169132328,0.018537501123533019,0.23752272948919856,0.31018973389344801,14.773093194511951,2.1845257459825111e-49,0.0030391605253439215,0.0053098221958514484,0.0017350599830538802,1286.7890867666126,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
adain,lpips,800,0.17360483421012526,0.0099766030667246784,0.15405069219934489,0.19315897622090564,17.401196885256034,8.0796923884968466e-68,0.00087883345767199013,0.0015328985422206393,0.0007334761585168889,1641.5035648624662,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
adain,e_ssim,800,0.29329532111773793,0.017091707819193537,0.25979557379211859,0.32679506844335726,17.160094486776508,5.2827627110180096e-66,0.0031328219985282488,0.004179829911922759,0.00385154449387025,992.26826773803941,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
adain,l_c,800,1.1086824898795526,0.072852562079518499,0.96589146820369642,1.251473511555409,15.218167463615444,2.6793139868240125e-52,0.013416489047822007,0.099066304987017142,0.015014660802721342,430.02928013415249,True,lbfgs,,positive = CC-StyTr better,0.14.6
adain,l_s,800,0.29736519787449822,0.092431362590034094,0.1161997271980314,0.47853066855096504,3.2171461021668417,0.0012947264817852592,0.0070779501164521348,0.16681779985641981,0.020574435616888945,319.25541206931348,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
sanet,ssim,800,0.24473574885168137,0.017396232751847786,0.2106391326580597,0.27883236504530301,14.068318833322468,5.9466303675625671e-45,0.0022504247330204065,0.0048693697548200174,0.0023198463119602614,1185.3893131030225,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
sanet,lpips,800,0.16659983353689067,0.011060922201795418,0.14492042602137165,0.1882792410524097,15.06202019121408,2.8785466899317988e-51,0.0010407525105610126,0.0019001370090508671,0.0010546693900813325,1501.420230851445,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
sanet,e_ssim,800,0.26655512976057083,0.018287030144011656,0.23071255067830798,0.30239770884283368,14.576184741941711,3.9815482998568935e-48,0.0030206161450078623,0.0050771844627466849,0.0040326757803698446,974.03800709332927,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
sanet,l_c,800,0.96869119603190135,0.055867239471289812,0.85919140666817329,1.0781909853956293,17.339163438166871,2.3817817338164535e-67,0.010014447966573442,0.056928768171073431,0.019479070739600486,343.75580352341285,True,lbfgs,,positive = CC-StyTr better,0.14.6
sanet,l_s,800,0.31513502404093707,0.064503243985415348,0.188708665829523,0.44156138225235114,4.8855686097305648,1.0313078411484776e-06,0.0052283885682998582,0.079602345696107954,0.039873188503340033,83.30518342987807,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
cast,ssim,800,0.12910547759383864,0.011460670650260232,0.10664256311932858,0.15156839206834868,11.265089237243469,1.9515414102227487e-29,0.0015964691211782164,0.0017583631957890924,0.0028136671478620878,1129.3317569908615,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
cast,lpips,800,0.14781020266934672,0.020155680992102114,0.10830506792482658,0.18731533741386686,7.3334263787596798,2.243417452596079e-13,0.00068579146505449355,0.0077305931446274099,0.0020616259181329291,1246.1900653882783,True,lbfgs,The MLE may be on the boundary of the parameter space.,positive = CC-StyTr better,0.14.6
