method,pair,round,lpips
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,1,0.3593
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,2,0.4688
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,3,0.5262
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,4,0.5533
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,5,0.569
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,6,0.5828
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,7,0.5963
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,8,0.6097
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,9,0.6223
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,10,0.6337
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,11,0.6445
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,12,0.6541
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,13,0.6632
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,14,0.6708
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,15,0.6771
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,16,0.6831
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,17,0.6885
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,18,0.6929
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,19,0.6977
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,20,0.7017
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,1,0.4442
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,2,0.4735
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,3,0.5021
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,4,0.5283
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,5,0.5509
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,6,0.5709
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,7,0.5881
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,8,0.6035
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,9,0.6182
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,10,0.6309
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,11,0.6419
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,12,0.6525
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,13,0.6619
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,14,0.6698
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,15,0.6767
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,16,0.6833
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,17,0.6891
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,18,0.6944
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,19,0.699
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,20,0.7033
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,1,0.3462
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,2,0.4073
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,3,0.4338
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,4,0.4561
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,5,0.4779
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,6,0.499
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,7,0.5191
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,8,0.539
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,9,0.5595
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,10,0.5795
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,11,0.5962
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,12,0.6106
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,13,0.623
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,14,0.6334
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,15,0.6416
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,16,0.6498
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,17,0.6579
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,18,0.6655
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,19,0.6725
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,20,0.679
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,1,0.4573
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,2,0.4604
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,3,0.4714
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,4,0.4891
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,5,0.51
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,6,0.5311
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,7,0.552
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,8,0.5715
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,9,0.5897
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,10,0.6073
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,11,0.6239
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,12,0.6394
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,13,0.6538
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,14,0.6666
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,15,0.6783
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,16,0.6881
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,17,0.6957
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,18,0.7028
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,19,0.709
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,20,0.7146
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,1,0.3534
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,2,0.4177
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,3,0.4507
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,4,0.4795
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,5,0.5065
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,6,0.5309
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,7,0.5509
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,8,0.5691
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,9,0.5863
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,10,0.6017
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,11,0.6152
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,12,0.6268
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,13,0.6369
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,14,0.646
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,15,0.6538
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,16,0.6607
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,17,0.6671
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,18,0.673
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,19,0.6784
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,20,0.6835
