method,round,n_pairs,mean_lpips,sd_lpips,min_lpips,max_lpips
ccstytr,1,8,0.382488,0.043557,0.346200,0.457300
ccstytr,2,8,0.422350,0.040128,0.370400,0.473500
ccstytr,3,8,0.453025,0.043873,0.405200,0.526200
ccstytr,4,8,0.480938,0.041319,0.436100,0.553300
ccstytr,5,8,0.507450,0.035719,0.467600,0.569000
ccstytr,6,8,0.532388,0.030458,0.498900,0.582800
ccstytr,7,8,0.554963,0.026272,0.519100,0.596300
ccstytr,8,8,0.575738,0.023141,0.539000,0.609700
ccstytr,9,8,0.594625,0.020586,0.559500,0.622300
ccstytr,10,8,0.611625,0.018121,0.579500,0.633700
ccstytr,11,8,0.626550,0.016488,0.596200,0.644500
ccstytr,12,8,0.639650,0.015379,0.610600,0.654100
ccstytr,13,8,0.651375,0.014844,0.623000,0.663200
ccstytr,14,8,0.661500,0.014542,0.633400,0.673200
ccstytr,15,8,0.670288,0.014888,0.641600,0.683400
ccstytr,16,8,0.678088,0.015057,0.649800,0.692600
ccstytr,17,8,0.685213,0.015081,0.657900,0.701300
ccstytr,18,8,0.691563,0.015032,0.665500,0.708800
ccstytr,19,8,0.697288,0.014921,0.672500,0.715200
ccstytr,20,8,0.702500,0.014732,0.679000,0.720600
