baseline,metric,n,n_nonzero,mean_paired_difference,median_paired_difference,w_statistic,w_plus,w_minus,z_statistic,raw_p,bonferroni_adjusted_p,rank_biserial_r,difference_direction,zero_method,p_method
stytr2,ssim,800,800,0.082562971301376825,0.081821635365486145,137,320263,137,-24.481591995468872,2.320272283574093e-132,4.6405445671481859e-131,0.9991448189762796,positive = CC-StyTr better,wilcox,asymptotic
stytr2,lpips,800,800,0.10422169582918286,0.098608434200286893,5,320395,5,-24.501781359303124,1.413955872760763e-132,2.8279117455215259e-131,0.99996878901373287,positive = CC-StyTr better,wilcox,asymptotic
stytr2,e_ssim,800,800,0.13511888920520126,0.13756499428050908,720,319680,720,-24.392422305200927,2.0580864707102064e-131,4.1161729414204129e-130,0.99550561797752812,positive = CC-StyTr better,wilcox,asymptotic
stytr2,l_c,800,800,0.69158371511846783,0.66906189918518044,0,320400,0,-24.50254610793321,1.3876646900177629e-132,2.7753293800355259e-131,1,positive = CC-StyTr better,wilcox,asymptotic
stytr2,l_s,800,800,0.45034633588045836,0.31853690743446322,8776,311624,8776,-23.160259312407479,1.1458541985981368e-118,2.2917083971962736e-117,0.94521847690387018,positive = CC-StyTr better,wilcox,asymptotic
adain,ssim,800,800,0.27385623169131579,0.26764512062072754,0,320400,0,-24.50254610793321,1.3876646900177629e-132,2.7753293800355259e-131,1,positive = CC-StyTr better,wilcox,asymptotic
adain,lpips,800,800,0.1736048342101276,0.17090189456939697,0,320400,0,-24.50254610793321,1.3876646900177629e-132,2.7753293800355259e-131,1,positive = CC-StyTr better,wilcox,asymptotic
adain,e_ssim,800,800,0.2932953211177351,0.29603000846820965,0,320400,0,-24.50254610793321,1.3876646900177629e-132,2.7753293800355259e-131,1,positive = CC-StyTr better,wilcox,asymptotic
adain,l_c,800,800,1.1086824898794294,1.1526679396629333,0,320400,0,-24.50254610793321,1.3876646900177629e-132,2.7753293800355259e-131,1,positive = CC-StyTr better,wilcox,asymptotic
adain,l_s,800,800,0.29736519787460564,0.1900037825107575,52285,268115,52285,-16.505569683131164,3.3456086332203618e-61,6.6912172664407233e-60,0.67362671660424467,positive = CC-StyTr better,wilcox,asymptotic
sanet,ssim,800,800,0.24473574885167182,0.24604290723800659,154,320246,154,-24.478991850126583,2.4730265432389608e-132,4.9460530864779216e-131,0.99903870162297126,positive = CC-StyTr better,wilcox,asymptotic
sanet,lpips,800,800,0.16659983353689312,0.16233092546463015,5,320395,5,-24.501781359303124,1.413955872760763e-132,2.8279117455215259e-131,0.99996878901373287,positive = CC-StyTr better,wilcox,asymptotic
sanet,e_ssim,800,800,0.26655512976057189,0.27284048292076779,142,320258,142,-24.480827246838789,2.3641951543192161e-132,4.7283903086384321e-131,0.99911360799001248,positive = CC-StyTr better,wilcox,asymptotic
sanet,l_c,800,800,0.96869119603186848,0.96542131900787354,0,320400,0,-24.50254610793321,1.3876646900177629e-132,2.7753293800355259e-131,1,positive = CC-StyTr better,wilcox,asymptotic
sanet,l_s,800,800,0.31513502404093741,0.29787015914917003,28332,292068,28332,-20.169174470417833,1.826622942548953e-90,3.6532458850979056e-89,0.82314606741573038,positive = CC-StyTr better,wilcox,asymptotic
cast,ssim,800,800,0.12910547759383917,0.12294436991214755,3071,317329,3071,-24.032837499334814,1.2620422717470549e-127,2.5240845434941097e-126,0.98083021223470657,positive = CC-StyTr better,wilcox,asymptotic
cast,lpips,800,800,0.1478102026693523,0.13370762765407559,155,320245,155,-24.478838900400564,2.4823184755597621e-132,4.9646369511195239e-131,0.99903245942571783,positive = CC-StyTr better,wilcox,asymptotic
cast,e_ssim,800,800,0.17435903998456326,0.17029391150240361,6834,313566,6834,-23.457287680332612,1.1138715486259181e-121,2.2277430972518362e-120,0.9573408239700375,positive = CC-StyTr better,wilcox,asymptotic
cast,l_c,800,800,0.90518995258957147,0.92941993474960327,4,320396,4,-24.501934309029142,1.4086581511454687e-132,2.8173163022909373e-131,0.9999750312109863,positive = CC-StyTr better,wilcox,asymptotic
cast,l_s,800,800,1.4269324741885065,0.97634074091911316,5020,315380,5020,-23.734738483327561,1.5795621441716386e-124,3.1591242883432769e-123,0.96866416978776526,positive = CC-StyTr better,wilcox,asymptotic
