method,output,ssim,lpips,e_ssim,l_c,l_s
saliency_routed_spatial_alpha,1041__chinese_landscape__130942.png,0.6831,0.3972,0.6621,1.3545,0.9373
saliency_routed_spatial_alpha,1041__chinese_landscape__132834.png,0.649,0.4556,0.5955,1.4598,0.7518
saliency_routed_spatial_alpha,1041__chinese_landscape__132836.png,0.6337,0.4735,0.5784,1.5354,0.79
saliency_routed_spatial_alpha,1041__chinese_landscape__132840.png,0.688,0.406,0.665,1.4135,0.7499
saliency_routed_spatial_alpha,1041__chinese_landscape__132930.png,0.7161,0.4403,0.6544,1.3263,0.5478
saliency_routed_spatial_alpha,1041__chinese_landscape__137205.png,0.5507,0.5043,0.4759,1.7251,1.1169
saliency_routed_spatial_alpha,1041__chinese_landscape__142574.png,0.7018,0.4571,0.627,1.3947,0.6256
saliency_routed_spatial_alpha,1041__chinese_landscape__142578.png,0.6191,0.4834,0.518,1.534,0.8748
saliency_routed_spatial_alpha,1041__chinese_landscape__144829.png,0.6437,0.4537,0.5672,1.4259,0.746
saliency_routed_spatial_alpha,1041__chinese_landscape__148342.png,0.6024,0.4792,0.4794,1.4471,0.8832
saliency_routed_spatial_alpha,1041__mural__img_1082crop_1_0.png,0.3853,0.5381,0.328,1.8656,2.8987
saliency_routed_spatial_alpha,1041__mural__img_1224crop_0_0.png,0.2509,0.5958,0.2236,2.1125,5.5725
saliency_routed_spatial_alpha,1041__mural__img_1224crop_1_1.png,0.2532,0.6271,0.2009,2.2173,6.7443
saliency_routed_spatial_alpha,1041__mural__img_16crop_0_0.png,0.4582,0.5148,0.3358,1.6113,1.5188
saliency_routed_spatial_alpha,1041__mural__img_276crop_1_0.png,0.3322,0.6761,0.2467,2.1301,1.3257
saliency_routed_spatial_alpha,1041__mural__img_326crop_1_1.png,0.5169,0.5243,0.3657,1.7345,1.52
saliency_routed_spatial_alpha,1041__mural__img_327crop_0_1.png,0.4819,0.5352,0.4045,1.9337,2.5551
saliency_routed_spatial_alpha,1041__mural__img_536crop_1_0.png,0.4637,0.4926,0.4134,1.8016,2.0843
saliency_routed_spatial_alpha,1041__mural__img_593crop_0_0.png,0.4273,0.5115,0.3524,1.7996,1.7198
saliency_routed_spatial_alpha,1041__mural__img_739crop_1_1.png,0.3408,0.5263,0.4259,1.7964,2.0635
saliency_routed_spatial_alpha,1041__western_painting__met_359775.png,0.6278,0.411,0.5902,1.501,1.3354
saliency_routed_spatial_alpha,1041__western_painting__met_383787.png,0.6892,0.4053,0.6711,1.505,0.9239
saliency_routed_spatial_alpha,1041__western_painting__met_406721.png,0.6258,0.4308,0.5208,1.305,0.8605
saliency_routed_spatial_alpha,1041__western_painting__met_437769.png,0.3955,0.4242,0.539,1.3807,1.3803
saliency_routed_spatial_alpha,1041__western_painting__met_437967.png,0.5045,0.4877,0.4621,1.4835,1.3064
saliency_routed_spatial_alpha,1041__western_painting__met_439405.png,0.5824,0.4927,0.6525,1.4831,1.6567
saliency_routed_spatial_alpha,1041__western_painting__met_649693.png,0.5532,0.5288,0.4756,1.9454,1.4641
saliency_routed_spatial_alpha,1041__western_painting__met_739494.png,0.6318,0.4161,0.6185,1.4526,1.3538
saliency_routed_spatial_alpha,1041__western_painting__met_787672.png,0.5344,0.49,0.483,1.7416,1.0231
saliency_routed_spatial_alpha,1041__western_painting__met_788182.png,0.6255,0.4572,0.5688,1.5017,0.8273
saliency_routed_spatial_alpha,1185__chinese_landscape__130942.png,0.6879,0.4548,0.5472,1.4813,0.8435
saliency_routed_spatial_alpha,1185__chinese_landscape__132834.png,0.6561,0.477,0.5092,1.4523,0.7568
saliency_routed_spatial_alpha,1185__chinese_landscape__132836.png,0.6321,0.4847,0.4878,1.5294,0.8275
saliency_routed_spatial_alpha,1185__chinese_landscape__132840.png,0.6974,0.4455,0.5892,1.413,0.6335
saliency_routed_spatial_alpha,1185__chinese_landscape__132930.png,0.7466,0.4439,0.5783,1.319,0.5115
saliency_routed_spatial_alpha,1185__chinese_landscape__137205.png,0.5545,0.5659,0.3954,1.6724,1.1282
saliency_routed_spatial_alpha,1185__chinese_landscape__142574.png,0.7347,0.4821,0.55,1.3888,0.6355
saliency_routed_spatial_alpha,1185__chinese_landscape__142578.png,0.6327,0.5046,0.4286,1.4768,0.9004
saliency_routed_spatial_alpha,1185__chinese_landscape__144829.png,0.6486,0.5181,0.4701,1.4356,0.6719
saliency_routed_spatial_alpha,1185__chinese_landscape__148342.png,0.6264,0.4901,0.3918,1.4114,0.9088
saliency_routed_spatial_alpha,1185__mural__img_1082crop_1_0.png,0.3928,0.5985,0.2795,1.947,3.3455
saliency_routed_spatial_alpha,1185__mural__img_1224crop_0_0.png,0.247,0.6777,0.2065,2.196,5.4782
saliency_routed_spatial_alpha,1185__mural__img_1224crop_1_1.png,0.2504,0.6824,0.1813,2.3039,6.8378
saliency_routed_spatial_alpha,1185__mural__img_16crop_0_0.png,0.5035,0.5399,0.2808,1.5927,1.2855
saliency_routed_spatial_alpha,1185__mural__img_276crop_1_0.png,0.3516,0.6249,0.2118,1.9695,1.4293
saliency_routed_spatial_alpha,1185__mural__img_326crop_1_1.png,0.5489,0.5856,0.3313,1.5965,1.3309
saliency_routed_spatial_alpha,1185__mural__img_327crop_0_1.png,0.5163,0.5862,0.3515,1.7761,2.7817
saliency_routed_spatial_alpha,1185__mural__img_536crop_1_0.png,0.4787,0.6011,0.3381,1.8855,2.2065
saliency_routed_spatial_alpha,1185__mural__img_593crop_0_0.png,0.4489,0.5685,0.2928,1.8445,1.4403
saliency_routed_spatial_alpha,1185__mural__img_739crop_1_1.png,0.345,0.5558,0.3523,1.8931,1.8911
saliency_routed_spatial_alpha,1185__western_painting__met_359775.png,0.643,0.5116,0.4786,1.55,1.3888
saliency_routed_spatial_alpha,1185__western_painting__met_383787.png,0.6985,0.5083,0.5825,1.5599,0.9472
saliency_routed_spatial_alpha,1185__western_painting__met_406721.png,0.5811,0.5744,0.4133,1.582,0.9041
saliency_routed_spatial_alpha,1185__western_painting__met_437769.png,0.4341,0.4692,0.5387,1.2673,1.1905
saliency_routed_spatial_alpha,1185__western_painting__met_437967.png,0.5753,0.4778,0.3998,1.4294,1.4328
saliency_routed_spatial_alpha,1185__western_painting__met_439405.png,0.6654,0.4078,0.625,1.2476,1.5106
saliency_routed_spatial_alpha,1185__western_painting__met_649693.png,0.561,0.5411,0.3881,1.9999,1.4855
saliency_routed_spatial_alpha,1185__western_painting__met_739494.png,0.6614,0.451,0.5262,1.4868,1.6125
saliency_routed_spatial_alpha,1185__western_painting__met_787672.png,0.5403,0.5076,0.3946,1.694,1.1643
saliency_routed_spatial_alpha,1185__western_painting__met_788182.png,0.6429,0.4564,0.4637,1.4064,0.9952
saliency_routed_spatial_alpha,1269__chinese_landscape__130942.png,0.3216,0.6467,0.4364,1.7241,0.7959
saliency_routed_spatial_alpha,1269__chinese_landscape__132834.png,0.2707,0.7474,0.3813,1.82,0.7755
saliency_routed_spatial_alpha,1269__chinese_landscape__132836.png,0.2645,0.7505,0.3679,1.8465,0.8552
saliency_routed_spatial_alpha,1269__chinese_landscape__132840.png,0.274,0.701,0.4693,1.8145,0.6953
saliency_routed_spatial_alpha,1269__chinese_landscape__132930.png,0.3041,0.7326,0.4836,1.6,0.5816
saliency_routed_spatial_alpha,1269__chinese_landscape__137205.png,0.2471,0.73,0.3012,1.8852,1.188
saliency_routed_spatial_alpha,1269__chinese_landscape__142574.png,0.313,0.7328,0.4672,1.6264,0.7
