method,output,ssim,lpips,e_ssim,l_c,l_s
adain,1041__chinese_landscape__130942.jpg,0.4416,0.5807,0.3423,2.5622,0.6539
adain,1041__chinese_landscape__132834.jpg,0.4618,0.5737,0.3888,2.4889,1.0572
adain,1041__chinese_landscape__132836.jpg,0.457,0.5824,0.3844,2.5323,1.142
adain,1041__chinese_landscape__132840.jpg,0.5461,0.5243,0.5327,2.466,1.1442
adain,1041__chinese_landscape__132930.jpg,0.5475,0.5776,0.4905,2.5433,0.5717
adain,1041__chinese_landscape__137205.jpg,0.3181,0.6125,0.2045,2.6675,1.5975
adain,1041__chinese_landscape__142574.jpg,0.5359,0.5734,0.4512,2.5084,0.7218
adain,1041__chinese_landscape__142578.jpg,0.4113,0.6068,0.2654,2.5533,1.0052
adain,1041__chinese_landscape__144829.jpg,0.4462,0.573,0.3112,2.4775,1.0156
adain,1041__chinese_landscape__148342.jpg,0.3742,0.6107,0.2066,2.552,0.8158
adain,1041__mural__img_1082crop_1_0.jpg,0.187,0.6502,0.1147,2.5693,3.3627
adain,1041__mural__img_1224crop_0_0.jpg,0.1012,0.6929,0.0594,2.8437,5.3874
adain,1041__mural__img_1224crop_1_1.jpg,0.091,0.7041,0.048,2.8556,6.5324
adain,1041__mural__img_16crop_0_0.jpg,0.2369,0.6786,0.1236,2.9055,1.686
adain,1041__mural__img_276crop_1_0.jpg,0.1224,0.7903,0.0569,3.0435,1.7061
adain,1041__mural__img_326crop_1_1.jpg,0.265,0.6412,0.1369,2.8714,1.1253
adain,1041__mural__img_327crop_0_1.jpg,0.2584,0.6255,0.1693,2.6877,2.1344
adain,1041__mural__img_536crop_1_0.jpg,0.2526,0.6239,0.1428,2.6917,1.9058
adain,1041__mural__img_593crop_0_0.jpg,0.2035,0.6572,0.1118,2.733,1.4147
adain,1041__mural__img_739crop_1_1.jpg,0.1966,0.6651,0.2159,2.7118,1.6147
adain,1041__western_painting__met_359775.jpg,0.3973,0.5401,0.2884,2.3936,1.3429
adain,1041__western_painting__met_383787.jpg,0.5353,0.4893,0.5083,2.361,0.9487
adain,1041__western_painting__met_406721.jpg,0.3498,0.564,0.1947,2.3717,1.0399
adain,1041__western_painting__met_437769.jpg,0.2433,0.6029,0.4016,2.586,1.2929
adain,1041__western_painting__met_437967.jpg,0.3151,0.628,0.2573,2.554,1.3672
adain,1041__western_painting__met_439405.jpg,0.354,0.6486,0.3807,2.7041,1.6465
adain,1041__western_painting__met_649693.jpg,0.3658,0.558,0.2939,2.4423,1.7013
adain,1041__western_painting__met_739494.jpg,0.407,0.5528,0.3331,2.443,1.6196
adain,1041__western_painting__met_787672.jpg,0.3193,0.5813,0.1967,2.3838,1.7449
adain,1041__western_painting__met_788182.jpg,0.4114,0.5646,0.2852,2.374,1.1369
adain,1185__chinese_landscape__130942.jpg,0.5363,0.5639,0.376,2.4694,0.7054
adain,1185__chinese_landscape__132834.jpg,0.5509,0.549,0.4061,2.3588,1.0667
adain,1185__chinese_landscape__132836.jpg,0.546,0.5505,0.3923,2.4137,1.1462
adain,1185__chinese_landscape__132840.jpg,0.6389,0.4997,0.5729,2.2064,1.1373
adain,1185__chinese_landscape__132930.jpg,0.6481,0.5203,0.5085,2.3233,0.621
adain,1185__chinese_landscape__137205.jpg,0.3518,0.6492,0.1848,2.5208,1.6059
adain,1185__chinese_landscape__142574.jpg,0.6446,0.5529,0.4792,2.3154,0.7889
adain,1185__chinese_landscape__142578.jpg,0.5053,0.5731,0.2821,2.3721,0.9969
adain,1185__chinese_landscape__144829.jpg,0.5251,0.5847,0.2986,2.3794,1.0232
adain,1185__chinese_landscape__148342.jpg,0.4586,0.5824,0.2152,2.4351,0.7609
adain,1185__mural__img_1082crop_1_0.jpg,0.2026,0.6813,0.1039,2.6648,3.7008
adain,1185__mural__img_1224crop_0_0.jpg,0.1087,0.7415,0.0632,2.8304,5.825
adain,1185__mural__img_1224crop_1_1.jpg,0.0996,0.7407,0.0543,2.8268,7.2718
adain,1185__mural__img_16crop_0_0.jpg,0.2829,0.7063,0.0958,2.8255,1.7124
adain,1185__mural__img_276crop_1_0.jpg,0.1388,0.7429,0.0502,2.9966,1.883
