method,content,style,ocr_sim,n_gt
stytr2,84,chinese_landscape__130942,0.25,4
adain,84,chinese_landscape__130942,0.0,4
sanet,84,chinese_landscape__130942,0.1111,4
cast,84,chinese_landscape__130942,0.1389,4
stytr2,84,chinese_landscape__132834,0.1944,4
adain,84,chinese_landscape__132834,0.0,4
sanet,84,chinese_landscape__132834,0.0,4
cast,84,chinese_landscape__132834,0.1667,4
stytr2,84,chinese_landscape__132836,0.2222,4
adain,84,chinese_landscape__132836,0.0,4
sanet,84,chinese_landscape__132836,0.0,4
cast,84,chinese_landscape__132836,0.1389,4
stytr2,84,chinese_landscape__132840,0.1111,4
adain,84,chinese_landscape__132840,0.0,4
sanet,84,chinese_landscape__132840,0.0,4
cast,84,chinese_landscape__132840,0.1389,4
stytr2,84,chinese_landscape__132930,0.1389,4
adain,84,chinese_landscape__132930,0.0,4
sanet,84,chinese_landscape__132930,0.0,4
cast,84,chinese_landscape__132930,0.1667,4
stytr2,84,chinese_landscape__137205,0.1667,4
adain,84,chinese_landscape__137205,0.0,4
sanet,84,chinese_landscape__137205,0.0,4
cast,84,chinese_landscape__137205,0.1667,4
stytr2,84,chinese_landscape__142574,0.1944,4
adain,84,chinese_landscape__142574,0.0,4
sanet,84,chinese_landscape__142574,0.0,4
cast,84,chinese_landscape__142574,0.1944,4
stytr2,84,chinese_landscape__142578,0.1667,4
adain,84,chinese_landscape__142578,0.0,4
sanet,84,chinese_landscape__142578,0.0,4
cast,84,chinese_landscape__142578,0.1111,4
stytr2,84,chinese_landscape__144829,0.2222,4
adain,84,chinese_landscape__144829,0.0,4
sanet,84,chinese_landscape__144829,0.1389,4
cast,84,chinese_landscape__144829,0.1111,4
stytr2,84,chinese_landscape__148342,0.25,4
adain,84,chinese_landscape__148342,0.0,4
sanet,84,chinese_landscape__148342,0.0913,4
cast,84,chinese_landscape__148342,0.0,4
stytr2,84,mural__img_1082crop_1_0,0.2222,4
adain,84,mural__img_1082crop_1_0,0.0,4
sanet,84,mural__img_1082crop_1_0,0.0,4
cast,84,mural__img_1082crop_1_0,0.1667,4
stytr2,84,mural__img_1224crop_0_0,0.1468,4
adain,84,mural__img_1224crop_0_0,0.0,4
sanet,84,mural__img_1224crop_0_0,0.0,4
cast,84,mural__img_1224crop_0_0,0.1111,4
stytr2,84,mural__img_1224crop_1_1,0.0,4
adain,84,mural__img_1224crop_1_1,0.0,4
sanet,84,mural__img_1224crop_1_1,0.0,4
cast,84,mural__img_1224crop_1_1,0.1111,4
stytr2,84,mural__img_16crop_0_0,0.0,4
adain,84,mural__img_16crop_0_0,0.0,4
sanet,84,mural__img_16crop_0_0,0.0,4
cast,84,mural__img_16crop_0_0,0.1111,4
stytr2,84,mural__img_276crop_1_0,0.0,4
adain,84,mural__img_276crop_1_0,0.0,4
sanet,84,mural__img_276crop_1_0,0.0,4
cast,84,mural__img_276crop_1_0,0.0833,4
stytr2,84,mural__img_326crop_1_1,0.0,4
adain,84,mural__img_326crop_1_1,0.0,4
sanet,84,mural__img_326crop_1_1,0.0,4
cast,84,mural__img_326crop_1_1,0.1667,4
stytr2,84,mural__img_327crop_0_1,0.0,4
adain,84,mural__img_327crop_0_1,0.0,4
sanet,84,mural__img_327crop_0_1,0.0,4
cast,84,mural__img_327crop_0_1,0.1111,4
stytr2,84,mural__img_536crop_1_0,0.0,4
adain,84,mural__img_536crop_1_0,0.0,4
sanet,84,mural__img_536crop_1_0,0.0,4
cast,84,mural__img_536crop_1_0,0.1667,4
stytr2,84,mural__img_593crop_0_0,0.1111,4
adain,84,mural__img_593crop_0_0,0.0,4
sanet,84,mural__img_593crop_0_0,0.0,4
cast,84,mural__img_593crop_0_0,0.0,4
stytr2,84,mural__img_739crop_1_1,0.0,4
adain,84,mural__img_739crop_1_1,0.0,4
sanet,84,mural__img_739crop_1_1,0.0,4
cast,84,mural__img_739crop_1_1,0.1389,4
stytr2,84,western_painting__met_359775,0.0,4
adain,84,western_painting__met_359775,0.0,4
sanet,84,western_painting__met_359775,0.1389,4
cast,84,western_painting__met_359775,0.1389,4
stytr2,84,western_painting__met_383787,0.0833,4
adain,84,western_painting__met_383787,0.0,4
sanet,84,western_painting__met_383787,0.0,4
cast,84,western_painting__met_383787,0.1389,4
stytr2,84,western_painting__met_406721,0.1389,4
adain,84,western_painting__met_406721,0.0,4
sanet,84,western_painting__met_406721,0.0,4
