pair_id,content_id,style_id,condition,alpha,lpips_content,csd_style_similarity
p000__s00,p000,s00,alpha_000,0.0,0.504936695098877,0.14887234568595886
p000__s01,p000,s01,alpha_000,0.0,0.504936695098877,0.004814233630895615
p000__s02,p000,s02,alpha_000,0.0,0.504936695098877,0.2762269973754883
p000__s03,p000,s03,alpha_000,0.0,0.504936695098877,0.20049230754375458
p000__s04,p000,s04,alpha_000,0.0,0.504936695098877,0.18490546941757202
p000__s05,p000,s05,alpha_000,0.0,0.504936695098877,0.057259220629930496
p000__s06,p000,s06,alpha_000,0.0,0.504936695098877,0.27205896377563477
p000__s07,p000,s07,alpha_000,0.0,0.504936695098877,0.12578587234020233
p000__s08,p000,s08,alpha_000,0.0,0.504936695098877,0.04524582624435425
p000__s09,p000,s09,alpha_000,0.0,0.504936695098877,0.18757671117782593
p001__s00,p001,s00,alpha_000,0.0,0.3476719260215759,0.07313479483127594
p001__s01,p001,s01,alpha_000,0.0,0.3476719260215759,-0.04799885302782059
p001__s02,p001,s02,alpha_000,0.0,0.3476719260215759,0.03321031853556633
p001__s03,p001,s03,alpha_000,0.0,0.3476719260215759,0.1242939829826355
p001__s04,p001,s04,alpha_000,0.0,0.3476719260215759,0.056691933423280716
p001__s05,p001,s05,alpha_000,0.0,0.3476719260215759,-0.0368976928293705
p001__s06,p001,s06,alpha_000,0.0,0.3476719260215759,0.16190381348133087
p001__s07,p001,s07,alpha_000,0.0,0.3476719260215759,-0.02807202935218811
p001__s08,p001,s08,alpha_000,0.0,0.3476719260215759,0.06429187953472137
p001__s09,p001,s09,alpha_000,0.0,0.3476719260215759,0.07069538533687592
p002__s00,p002,s00,alpha_000,0.0,0.46316075325012207,-0.04216582328081131
p002__s01,p002,s01,alpha_000,0.0,0.46316075325012207,0.05929240584373474
p002__s02,p002,s02,alpha_000,0.0,0.46316075325012207,0.1089242622256279
p002__s03,p002,s03,alpha_000,0.0,0.46316075325012207,0.15032023191452026
p002__s04,p002,s04,alpha_000,0.0,0.46316075325012207,0.0447554811835289
p002__s05,p002,s05,alpha_000,0.0,0.46316075325012207,-0.05099823698401451
p002__s06,p002,s06,alpha_000,0.0,0.46316075325012207,0.1494116336107254
p002__s07,p002,s07,alpha_000,0.0,0.46316075325012207,-0.0360042005777359
p002__s08,p002,s08,alpha_000,0.0,0.46316075325012207,0.019510379061102867
p002__s09,p002,s09,alpha_000,0.0,0.46316075325012207,0.04903750494122505
p003__s00,p003,s00,alpha_000,0.0,0.5741286873817444,0.009655285626649857
p003__s01,p003,s01,alpha_000,0.0,0.5741286873817444,0.029277633875608444
p003__s02,p003,s02,alpha_000,0.0,0.5741286873817444,0.05449501797556877
p003__s03,p003,s03,alpha_000,0.0,0.5741286873817444,0.005276325158774853
p003__s04,p003,s04,alpha_000,0.0,0.5741286873817444,-0.006811405532062054
p003__s05,p003,s05,alpha_000,0.0,0.5741286873817444,-0.030744101852178574
p003__s06,p003,s06,alpha_000,0.0,0.5741286873817444,0.08133950084447861
p003__s07,p003,s07,alpha_000,0.0,0.5741286873817444,0.008331101387739182
p003__s08,p003,s08,alpha_000,0.0,0.5741286873817444,0.08373106271028519
p003__s09,p003,s09,alpha_000,0.0,0.5741286873817444,0.22305363416671753
p004__s00,p004,s00,alpha_000,0.0,0.45924845337867737,0.010705174878239632
p004__s01,p004,s01,alpha_000,0.0,0.45924845337867737,-0.0003469977527856827
p004__s02,p004,s02,alpha_000,0.0,0.45924845337867737,0.07513000816106796
p004__s03,p004,s03,alpha_000,0.0,0.45924845337867737,0.013642210513353348
p004__s04,p004,s04,alpha_000,0.0,0.45924845337867737,-0.042375337332487106
p004__s05,p004,s05,alpha_000,0.0,0.45924845337867737,0.021623792126774788
p004__s06,p004,s06,alpha_000,0.0,0.45924845337867737,0.11190466582775116
