pair_id,lpips_spearman,csd_spearman,lpips_adjacent_violation_rate,csd_adjacent_violation_rate
p000__s00,-0.6,0.7,0.5,0.25
p000__s01,0.8999999999999998,0.7,0.25,0.25
p000__s02,0.39999999999999997,0.09999999999999999,0.25,0.5
p000__s03,0.3,0.9999999999999999,0.5,0.0
p000__s04,0.39999999999999997,0.09999999999999999,0.25,0.5
p000__s05,0.39999999999999997,0.7,0.25,0.25
p000__s06,0.7,0.8999999999999998,0.25,0.25
p000__s07,-0.6,0.9999999999999999,0.5,0.0
p000__s08,0.7,0.9999999999999999,0.25,0.0
p000__s09,0.19999999999999998,0.39999999999999997,0.5,0.25
p001__s00,-0.6,0.9999999999999999,0.5,0.0
p001__s01,0.7,0.9999999999999999,0.25,0.0
p001__s02,0.39999999999999997,0.3,0.25,0.5
p001__s03,0.39999999999999997,0.7,0.25,0.25
p001__s04,0.39999999999999997,0.09999999999999999,0.25,0.5
p001__s05,0.7,0.3,0.25,0.5
p001__s06,0.39999999999999997,0.9999999999999999,0.25,0.0
p001__s07,-0.09999999999999999,0.7,0.5,0.25
p001__s08,0.7,0.9999999999999999,0.25,0.0
p001__s09,0.7,0.9999999999999999,0.25,0.0
p002__s00,0.7,0.7,0.25,0.25
p002__s01,-0.3,0.9999999999999999,0.5,0.0
p002__s02,0.39999999999999997,0.8999999999999998,0.25,0.25
p002__s03,0.09999999999999999,0.8999999999999998,0.5,0.25
p002__s04,-0.6,0.0,0.5,0.75
p002__s05,0.7,0.7,0.25,0.25
p002__s06,-0.09999999999999999,0.8999999999999998,0.5,0.25
p002__s07,0.3,0.7,0.5,0.25
p002__s08,0.0,0.7,0.5,0.25
p002__s09,0.7,0.6,0.25,0.5
p003__s00,-0.7,0.6,0.75,0.5
p003__s01,0.7,0.9999999999999999,0.25,0.0
p003__s02,0.7,0.09999999999999999,0.25,0.5
p003__s03,0.39999999999999997,0.9999999999999999,0.25,0.0
p003__s04,0.39999999999999997,0.6,0.25,0.5
p003__s05,-0.6,0.0,0.5,0.75
p003__s06,0.39999999999999997,0.8999999999999998,0.25,0.25
p003__s07,0.0,0.8999999999999998,0.25,0.25
p003__s08,0.7,0.8999999999999998,0.25,0.25
p003__s09,-0.3,0.7,0.5,0.25
p004__s00,0.7999999999999999,0.8999999999999998,0.5,0.25
p004__s01,0.8999999999999998,0.8999999999999998,0.25,0.25
p004__s02,0.7,0.3,0.25,0.5
p004__s03,0.39999999999999997,0.0,0.25,0.75
p004__s04,0.39999999999999997,0.9999999999999999,0.25,0.0
p004__s05,0.7,0.8999999999999998,0.25,0.25
p004__s06,0.39999999999999997,0.09999999999999999,0.25,0.5
p004__s07,0.9999999999999999,0.7,0.0,0.25
p004__s08,0.9999999999999999,0.0,0.0,0.75
p004__s09,0.8999999999999998,0.8999999999999998,0.25,0.25
p005__s00,0.39999999999999997,0.9999999999999999,0.25,0.0
p005__s01,0.8999999999999998,0.9999999999999999,0.25,0.0
p005__s02,0.7,0.7,0.25,0.25
p005__s03,0.39999999999999997,0.9999999999999999,0.25,0.0
p005__s04,0.39999999999999997,0.6,0.25,0.5
p005__s05,0.6,0.9999999999999999,0.5,0.0
p005__s06,0.7,0.9999999999999999,0.25,0.0
p005__s07,0.7,0.9999999999999999,0.25,0.0
p005__s08,0.9999999999999999,0.39999999999999997,0.0,0.25
p005__s09,0.6,0.8999999999999998,0.5,0.25
p006__s00,0.39999999999999997,0.9999999999999999,0.25,0.0
p006__s01,0.9999999999999999,0.9999999999999999,0.0,0.0
p006__s02,0.39999999999999997,0.7999999999999999,0.25,0.5
p006__s03,0.39999999999999997,0.8999999999999998,0.25,0.25
p006__s04,0.39999999999999997,0.0,0.25,0.75
p006__s05,0.8999999999999998,0.8999999999999998,0.25,0.25
p006__s06,0.7,0.09999999999999999,0.25,0.5
p006__s07,0.7,0.9999999999999999,0.25,0.0
p006__s08,0.7,0.9999999999999999,0.25,0.0
p006__s09,0.7,0.8999999999999998,0.25,0.25
p007__s00,-0.3,0.9999999999999999,0.5,0.0
p007__s01,-0.9999999999999999,0.7,1.0,0.25
p007__s02,-0.6,0.9999999999999999,0.5,0.0
p007__s03,-0.8999999999999998,0.7,0.75,0.25
p007__s04,-0.6,0.6,0.5,0.5
p007__s05,-0.09999999999999999,0.3,0.5,0.5
p007__s06,-0.6,0.8999999999999998,0.5,0.25
p007__s07,-0.9999999999999999,0.3,1.0,0.5
p007__s08,-0.6,0.8999999999999998,0.5,0.25
p007__s09,0.7,0.6,0.25,0.5
p008__s00,0.0,0.09999999999999999,0.5,0.5
p008__s01,0.8999999999999998,0.9999999999999999,0.25,0.0
p008__s02,0.9999999999999999,0.0,0.0,0.75
p008__s03,0.39999999999999997,0.6,0.25,0.5
p008__s04,0.39999999999999997,0.09999999999999999,0.25,0.5
p008__s05,0.9999999999999999,0.7,0.0,0.25
p008__s06,0.8999999999999998,0.8999999999999998,0.25,0.25
p008__s07,0.8999999999999998,0.9999999999999999,0.25,0.0
p008__s08,0.9999999999999999,0.39999999999999997,0.0,0.25
p008__s09,0.9999999999999999,0.9999999999999999,0.0,0.0
p009__s00,-0.3,0.9999999999999999,0.5,0.0
p009__s01,0.7,0.6,0.25,0.5
p009__s02,0.39999999999999997,0.0,0.25,0.75
p009__s03,0.39999999999999997,0.9999999999999999,0.25,0.0
p009__s04,0.39999999999999997,0.0,0.25,0.75
p009__s05,0.39999999999999997,0.39999999999999997,0.25,0.25
p009__s06,0.39999999999999997,0.6,0.25,0.5
p009__s07,-0.09999999999999999,0.8999999999999998,0.5,0.25
p009__s08,0.7,0.7,0.25,0.25
p009__s09,0.19999999999999998,0.3,0.5,0.5
p010__s00,-0.7,0.9999999999999999,0.75,0.0
p010__s01,0.8999999999999998,0.9999999999999999,0.25,0.0
p010__s02,0.3,0.9999999999999999,0.5,0.0
p010__s03,0.39999999999999997,0.9999999999999999,0.25,0.0
p010__s04,0.39999999999999997,0.09999999999999999,0.25,0.5
p010__s05,0.39999999999999997,0.7,0.25,0.25
p010__s06,0.39999999999999997,0.3,0.25,0.5
p010__s07,-0.09999999999999999,0.8999999999999998,0.5,0.25
p010__s08,0.39999999999999997,0.7,0.25,0.25
p010__s09,0.7,0.9999999999999999,0.25,0.0
p011__s00,-0.6,-0.7999999999999999,0.5,0.5
p011__s01,0.7,0.9999999999999999,0.25,0.0
p011__s02,-0.19999999999999998,0.09999999999999999,0.75,0.5
p011__s03,0.3,0.9999999999999999,0.5,0.0
p011__s04,0.39999999999999997,0.6,0.25,0.5
p011__s05,-0.09999999999999999,0.9999999999999999,0.5,0.0
p011__s06,0.3,0.3,0.5,0.5
p011__s07,-0.7,0.8999999999999998,0.75,0.25
p011__s08,-0.6,0.6,0.5,0.5
p011__s09,-0.3,0.9999999999999999,0.5,0.0
p012__s00,-0.6,0.8999999999999998,0.5,0.25
p012__s01,0.7,0.9999999999999999,0.25,0.0
p012__s02,0.7,0.9999999999999999,0.25,0.0
p012__s03,0.39999999999999997,0.7,0.25,0.25
p012__s04,0.39999999999999997,0.0,0.25,0.75
p012__s05,0.7,0.7,0.25,0.25
p012__s06,0.7,0.9999999999999999,0.25,0.0
p012__s07,0.0,0.8999999999999998,0.25,0.25
p012__s08,0.9999999999999999,0.9999999999999999,0.0,0.0
p012__s09,0.7,0.6,0.25,0.5
p013__s00,0.19999999999999998,0.8999999999999998,0.5,0.25
p013__s01,0.7,0.9999999999999999,0.25,0.0
p013__s02,0.39999999999999997,0.09999999999999999,0.25,0.5
p013__s03,0.39999999999999997,0.9999999999999999,0.25,0.0
p013__s04,0.3,0.3,0.5,0.5
p013__s05,0.7,0.6,0.25,0.5
p013__s06,0.3,0.9999999999999999,0.5,0.0
p013__s07,0.3,0.7,0.5,0.25
p013__s08,0.8999999999999998,0.8999999999999998,0.25,0.25
p013__s09,0.6,0.7,0.5,0.25
p014__s00,-0.6,0.8999999999999998,0.5,0.25
p014__s01,0.8999999999999998,0.9999999999999999,0.25,0.0
p014__s02,0.39999999999999997,0.39999999999999997,0.25,0.25
p014__s03,0.39999999999999997,0.9999999999999999,0.25,0.0
p014__s04,0.7,0.8999999999999998,0.25,0.25
p014__s05,-0.6,0.8999999999999998,0.5,0.25
p014__s06,0.39999999999999997,0.7,0.25,0.25
p014__s07,-0.6,0.6,0.5,0.5
p014__s08,0.8999999999999998,0.9999999999999999,0.25,0.0
p014__s09,0.0,0.9999999999999999,0.25,0.0
p015__s00,0.0,0.8999999999999998,0.5,0.25
p015__s01,0.8999999999999998,0.8999999999999998,0.25,0.25
p015__s02,0.7,0.8999999999999998,0.25,0.25
p015__s03,0.39999999999999997,0.7,0.25,0.25
p015__s04,0.39999999999999997,0.9999999999999999,0.25,0.0
p015__s05,0.7,0.9999999999999999,0.25,0.0
p015__s06,0.39999999999999997,0.7,0.25,0.25
p015__s07,0.7999999999999999,0.8999999999999998,0.5,0.25
p015__s08,0.9999999999999999,0.7,0.0,0.25
p015__s09,0.8999999999999998,0.8999999999999998,0.25,0.25
p016__s00,0.8999999999999998,0.9999999999999999,0.25,0.0
p016__s01,0.8999999999999998,0.9999999999999999,0.25,0.0
p016__s02,0.39999999999999997,0.7,0.25,0.25
p016__s03,0.39999999999999997,0.9999999999999999,0.25,0.0
p016__s04,-0.9999999999999999,0.09999999999999999,1.0,0.5
p016__s05,0.8999999999999998,0.0,0.25,0.75
