method,content,style,ocr_sim,n_gt
alpha_050,p000,s02,0.5189,6
alpha_050,p000,s03,0.7778,6
alpha_050,p000,s00,0.7887,6
alpha_050,p000,s05,0.3498,6
alpha_050,p000,s04,0.5145,6
alpha_050,p000,s01,0.4461,6
alpha_050,p000,s06,0.5488,6
alpha_050,p000,s07,0.4401,6
alpha_050,p000,s09,0.7305,6
alpha_050,p000,s08,0.7125,6
alpha_050,p001,s00,0.9306,4
alpha_050,p001,s01,0.3819,4
alpha_050,p001,s02,0.8806,4
alpha_050,p001,s03,0.9722,4
alpha_050,p001,s06,0.8750,4
alpha_050,p001,s04,0.9583,4
alpha_050,p001,s07,0.8583,4
alpha_050,p001,s05,0.9583,4
alpha_050,p001,s08,0.9083,4
alpha_050,p001,s09,0.8125,4
alpha_050,p002,s01,0.3933,6
alpha_050,p002,s00,0.8880,6
alpha_050,p002,s02,0.3433,6
alpha_050,p002,s05,0.7901,6
alpha_050,p002,s04,0.8752,6
alpha_050,p002,s03,0.8138,6
alpha_050,p002,s07,0.6683,6
alpha_050,p002,s08,0.6262,6
alpha_050,p002,s06,0.8665,6
alpha_050,p002,s09,0.8294,6
alpha_050,p003,s00,0.5097,11
alpha_050,p003,s01,0.2657,11
alpha_050,p003,s02,0.3988,11
alpha_050,p003,s03,0.5628,11
alpha_050,p003,s04,0.5097,11
alpha_050,p003,s06,0.5628,11
alpha_050,p003,s05,0.4719,11
alpha_050,p003,s08,0.4118,11
alpha_050,p003,s07,0.5027,11
alpha_050,p003,s09,0.1667,11
alpha_050,p004,s00,0.3565,15
alpha_050,p004,s04,0.4542,15
alpha_050,p004,s02,0.1982,15
alpha_050,p004,s01,0.1667,15
alpha_050,p004,s03,0.4021,15
alpha_050,p004,s05,0.3812,15
alpha_050,p004,s06,0.3612,15
alpha_050,p004,s07,0.3839,15
alpha_050,p004,s08,0.3856,15
alpha_050,p004,s09,0.2961,15
alpha_050,p005,s00,0.8593,3
alpha_050,p005,s01,0.8222,3
alpha_050,p005,s02,0.8259,3
alpha_050,p005,s07,0.7852,3
alpha_050,p005,s06,0.7852,3
alpha_050,p005,s03,0.8426,3
alpha_050,p005,s04,0.8472,3
alpha_050,p005,s05,0.8519,3
alpha_050,p005,s08,0.9630,3
alpha_050,p005,s09,0.8889,3
alpha_050,p006,s00,0.5714,7
alpha_050,p006,s01,0.4786,7
alpha_050,p006,s04,0.5286,7
alpha_050,p006,s03,0.5857,7
alpha_050,p006,s02,0.3714,7
alpha_050,p006,s05,0.4452,7
alpha_050,p006,s06,0.4571,7
alpha_050,p006,s07,0.3714,7
alpha_050,p006,s08,0.5286,7
alpha_050,p006,s09,0.5786,7
alpha_050,p007,s00,0.6645,9
alpha_050,p007,s02,0.6232,9
alpha_050,p007,s01,0.7286,9
alpha_050,p007,s04,0.7619,9
alpha_050,p007,s03,0.7685,9
alpha_050,p007,s05,0.6270,9
alpha_050,p007,s06,0.6282,9
alpha_050,p007,s07,0.5196,9
alpha_050,p007,s08,0.7756,9
alpha_050,p007,s09,0.6129,9
alpha_050,p008,s00,0.9375,4
alpha_050,p008,s01,0.5819,4
alpha_050,p008,s06,0.7847,4
alpha_050,p008,s02,0.8681,4
alpha_050,p008,s07,0.7569,4
alpha_050,p008,s03,0.8472,4
alpha_050,p008,s04,0.9722,4
alpha_050,p008,s05,0.6597,4
alpha_050,p008,s08,0.8472,4
alpha_050,p008,s09,0.9097,4
alpha_050,p009,s00,0.5631,10
alpha_050,p009,s02,0.4344,10
alpha_050,p009,s01,0.3743,10
alpha_050,p009,s05,0.4644,10
alpha_050,p009,s03,0.5841,10
alpha_050,p009,s04,0.6003,10
alpha_050,p009,s06,0.4976,10
alpha_050,p009,s07,0.5515,10
alpha_050,p009,s09,0.5597,10
alpha_050,p009,s08,0.5387,10
alpha_050,p010,s00,0.3201,16
alpha_050,p010,s01,0.1678,16
alpha_050,p010,s02,0.3492,16
alpha_050,p010,s03,0.3645,16
alpha_050,p010,s05,0.2326,16
alpha_050,p010,s04,0.3926,16
alpha_050,p010,s07,0.2410,16
alpha_050,p010,s06,0.3401,16
alpha_050,p010,s08,0.3553,16
alpha_050,p010,s09,0.3643,16
alpha_050,p011,s00,1.0000,2
alpha_050,p011,s01,0.7750,2
alpha_050,p011,s02,0.9000,2
alpha_050,p011,s03,0.9000,2
alpha_050,p011,s06,0.9000,2
alpha_050,p011,s07,1.0000,2
alpha_050,p011,s08,0.8000,2
alpha_050,p011,s09,1.0000,2
alpha_050,p011,s04,0.9000,2
alpha_050,p011,s05,0.5000,2
alpha_050,p012,s01,0.1577,8
alpha_050,p012,s00,0.4330,8
alpha_050,p012,s02,0.2309,8
alpha_050,p012,s04,0.3818,8
alpha_050,p012,s03,0.3193,8
alpha_050,p012,s05,0.2420,8
alpha_050,p012,s06,0.2287,8
alpha_050,p012,s07,0.2611,8
alpha_050,p012,s08,0.2662,8
alpha_050,p012,s09,0.3662,8
alpha_050,p013,s00,0.6250,14
alpha_050,p013,s01,0.6339,14
alpha_050,p013,s02,0.4157,14
alpha_050,p013,s03,0.4774,14
alpha_050,p013,s05,0.3810,14
alpha_050,p013,s04,0.6937,14
alpha_050,p013,s07,0.4311,14
alpha_050,p013,s06,0.7427,14
alpha_050,p013,s08,0.6429,14
alpha_050,p013,s09,0.6633,14
alpha_050,p014,s00,0.4537,12
alpha_050,p014,s01,0.3565,12
alpha_050,p014,s02,0.3681,12
alpha_050,p014,s07,0.3704,12
alpha_050,p014,s06,0.4051,12
alpha_050,p014,s05,0.3115,12
alpha_050,p014,s03,0.4352,12
alpha_050,p014,s04,0.5162,12
alpha_050,p014,s08,0.4537,12
alpha_050,p014,s09,0.3380,12
alpha_050,p015,s00,0.4679,14
alpha_050,p015,s02,0.3577,14
alpha_050,p015,s01,0.2753,14
alpha_050,p015,s03,0.5536,14
alpha_050,p015,s04,0.4768,14
alpha_050,p015,s06,0.4619,14
alpha_050,p015,s07,0.4035,14
alpha_050,p015,s08,0.4732,14
alpha_050,p015,s05,0.3238,14
alpha_050,p015,s09,0.3893,14
alpha_050,p016,s02,0.4710,16
alpha_050,p016,s00,0.5538,16
alpha_050,p016,s03,0.5818,16
alpha_050,p016,s04,0.6338,16
alpha_050,p016,s01,0.4458,16
alpha_050,p016,s05,0.3187,16
alpha_050,p016,s06,0.5813,16
alpha_050,p016,s07,0.5093,16
alpha_050,p016,s09,0.4910,16
alpha_050,p016,s08,0.6487,16
alpha_050,p017,s00,0.8020,8
alpha_050,p017,s01,0.8724,8
alpha_050,p017,s02,0.7379,8
alpha_050,p017,s04,0.8703,8
alpha_050,p017,s06,0.7370,8
alpha_050,p017,s03,0.8771,8
alpha_050,p017,s07,0.7917,8
alpha_050,p017,s05,0.7094,8
alpha_050,p017,s08,0.8935,8
alpha_050,p017,s09,0.6495,8
alpha_050,p018,s02,0.5149,17
alpha_050,p018,s00,0.7274,17
alpha_050,p018,s01,0.6461,17
alpha_050,p018,s04,0.6486,17
alpha_050,p018,s05,0.5571,17
alpha_050,p018,s03,0.7598,17
alpha_050,p018,s06,0.6046,17
alpha_050,p018,s07,0.7295,17
alpha_050,p018,s08,0.7383,17
alpha_050,p018,s09,0.6616,17
alpha_050,p019,s00,0.4167,9
alpha_050,p019,s01,0.2153,9
alpha_050,p019,s03,0.4683,9
alpha_050,p019,s02,0.4749,9
alpha_050,p019,s06,0.5952,9
alpha_050,p019,s04,0.6389,9
alpha_050,p019,s07,0.4074,9
alpha_050,p019,s05,0.2870,9
alpha_050,p019,s08,0.5516,9
alpha_050,p019,s09,0.3333,9
alpha_050,p020,s00,0.5000,2
alpha_050,p020,s01,0.4000,2
alpha_050,p020,s02,0.5000,2
alpha_050,p020,s06,0.5000,2
alpha_050,p020,s03,0.8333,2
alpha_050,p020,s07,0.5000,2
alpha_050,p020,s08,0.5000,2
alpha_050,p020,s04,0.5000,2
alpha_050,p020,s09,0.5000,2
alpha_050,p020,s05,0.5000,2
alpha_050,p021,s01,0.2467,16
alpha_050,p021,s00,0.2437,16
alpha_050,p021,s02,0.2678,16
alpha_050,p021,s05,0.1878,16
alpha_050,p021,s06,0.2959,16
alpha_050,p021,s03,0.2789,16
alpha_050,p021,s04,0.3188,16
alpha_050,p021,s07,0.2377,16
alpha_050,p021,s09,0.2542,16
alpha_050,p021,s08,0.3156,16
alpha_050,p022,s00,0.4853,9
alpha_050,p022,s02,0.6448,9
alpha_050,p022,s01,0.4433,9
alpha_050,p022,s03,0.6339,9
alpha_050,p022,s06,0.6423,9
alpha_050,p022,s04,0.7122,9
alpha_050,p022,s05,0.3556,9
alpha_050,p022,s07,0.5292,9
alpha_050,p022,s08,0.5747,9
alpha_050,p022,s09,0.7101,9
alpha_050,p023,s01,0.4206,4
alpha_050,p023,s00,0.8604,4
alpha_050,p023,s03,0.9643,4
alpha_050,p023,s02,0.7976,4
alpha_050,p023,s04,0.7698,4
alpha_050,p023,s06,0.7619,4
alpha_050,p023,s07,0.9188,4
alpha_050,p023,s08,0.8262,4
alpha_050,p023,s05,0.8310,4
alpha_050,p023,s09,0.7758,4
alpha_050,p024,s00,0.4776,19
alpha_050,p024,s05,0.3063,19
alpha_050,p024,s03,0.4471,19
alpha_050,p024,s04,0.4402,19
alpha_050,p024,s02,0.4108,19
alpha_050,p024,s01,0.4203,19
alpha_050,p024,s06,0.4313,19
alpha_050,p024,s09,0.4354,19
alpha_050,p024,s07,0.5132,19
alpha_050,p024,s08,0.6232,19
alpha_050,p025,s01,0.4274,5
alpha_050,p025,s00,0.7018,5
alpha_050,p025,s02,0.5625,5
alpha_050,p025,s06,0.3107,5
alpha_050,p025,s07,0.6196,5
alpha_050,p025,s05,0.4289,5
alpha_050,p025,s03,0.6196,5
alpha_050,p025,s04,0.5143,5
alpha_050,p025,s08,0.8732,5
alpha_050,p025,s09,0.3107,5
alpha_050,p026,s00,0.2647,2
alpha_050,p026,s02,0.1765,2
alpha_050,p026,s01,0.1176,2
alpha_050,p026,s03,0.7005,2
alpha_050,p026,s04,0.2941,2
alpha_050,p026,s06,0.2105,2
alpha_050,p026,s05,0.1471,2
alpha_050,p026,s07,0.2353,2
alpha_050,p026,s08,0.3529,2
alpha_050,p026,s09,0.1176,2
alpha_050,p027,s00,0.5486,6
alpha_050,p027,s01,0.4852,6
alpha_050,p027,s02,0.5185,6
alpha_050,p027,s03,0.6204,6
alpha_050,p027,s04,0.5407,6
alpha_050,p027,s05,0.6019,6
alpha_050,p027,s06,0.5741,6
alpha_050,p027,s08,0.6204,6
alpha_050,p027,s07,0.5635,6
alpha_050,p027,s09,0.6204,6
alpha_050,p028,s00,0.8039,6
alpha_050,p028,s01,0.6940,6
alpha_050,p028,s02,0.9216,6
alpha_050,p028,s03,0.8065,6
alpha_050,p028,s04,0.6919,6
alpha_050,p028,s05,0.6919,6
alpha_050,p028,s06,0.7157,6
alpha_050,p028,s07,0.7157,6
alpha_050,p028,s08,0.8150,6
alpha_050,p028,s09,0.7665,6
alpha_050,p029,s00,0.5818,15
alpha_050,p029,s02,0.4906,15
alpha_050,p029,s01,0.4007,15
alpha_050,p029,s03,0.5807,15
alpha_050,p029,s05,0.3984,15
alpha_050,p029,s04,0.6080,15
alpha_050,p029,s06,0.5062,15
alpha_050,p029,s07,0.3363,15
alpha_050,p029,s08,0.5313,15
alpha_050,p029,s09,0.5980,15
alpha_050,p030,s00,0.3951,5
alpha_050,p030,s01,0.0000,5
alpha_050,p030,s06,0.3264,5
alpha_050,p030,s07,0.1977,5
alpha_050,p030,s02,0.3182,5
alpha_050,p030,s03,0.3750,5
alpha_050,p030,s08,0.2289,5
alpha_050,p030,s04,0.6078,5
alpha_050,p030,s05,0.2343,5
alpha_050,p030,s09,0.4640,5
alpha_050,p031,s00,0.5185,9
alpha_050,p031,s01,0.3945,9
alpha_050,p031,s02,0.4286,9
alpha_050,p031,s03,0.5370,9
alpha_050,p031,s04,0.3889,9
alpha_050,p031,s05,0.4136,9
alpha_050,p031,s06,0.4506,9
alpha_050,p031,s07,0.4037,9
alpha_050,p031,s08,0.5926,9
alpha_050,p031,s09,0.4457,9
alpha_050,p032,s00,0.5042,4
alpha_050,p032,s01,0.3063,4
alpha_050,p032,s06,0.4417,4
alpha_050,p032,s02,0.3063,4
alpha_050,p032,s03,0.4917,4
alpha_050,p032,s04,0.5875,4
alpha_050,p032,s08,0.4729,4
alpha_050,p032,s07,0.3063,4
alpha_050,p032,s05,0.5542,4
alpha_050,p032,s09,0.5750,4
alpha_050,p033,s00,0.6766,7
alpha_050,p033,s03,0.6385,7
alpha_050,p033,s02,0.5925,7
alpha_050,p033,s01,0.4611,7
alpha_050,p033,s04,0.5056,7
alpha_050,p033,s05,0.5881,7
alpha_050,p033,s08,0.6405,7
alpha_050,p033,s06,0.5999,7
alpha_050,p033,s07,0.6048,7
alpha_050,p033,s09,0.6643,7
alpha_050,p034,s00,0.7000,6
alpha_050,p034,s01,0.4167,6
alpha_050,p034,s03,0.6208,6
alpha_050,p034,s04,0.6167,6
alpha_050,p034,s02,0.6583,6
alpha_050,p034,s05,0.4875,6
alpha_050,p034,s06,0.5352,6
alpha_050,p034,s07,0.6352,6
alpha_050,p034,s08,0.6667,6
alpha_050,p034,s09,0.5545,6
alpha_050,p035,s00,0.8846,2
alpha_050,p035,s02,0.8654,2
alpha_050,p035,s01,0.8324,2
alpha_050,p035,s06,0.9423,2
alpha_050,p035,s03,0.9231,2
alpha_050,p035,s07,0.8846,2
alpha_050,p035,s05,0.7885,2
alpha_050,p035,s04,0.8846,2
alpha_050,p035,s08,0.9615,2
alpha_050,p035,s09,0.8462,2
alpha_050,p036,s00,0.2525,12
alpha_050,p036,s01,0.1506,12
alpha_050,p036,s02,0.0595,12
alpha_050,p036,s04,0.1266,12
alpha_050,p036,s03,0.1131,12
alpha_050,p036,s05,0.0970,12
alpha_050,p036,s06,0.1652,12
alpha_050,p036,s08,0.3297,12
alpha_050,p036,s07,0.1682,12
alpha_050,p036,s09,0.0833,12
alpha_050,p037,s00,0.8864,3
alpha_050,p037,s01,0.6515,3
