pair_id,inside_direction,outside_direction,direction_success,locality_contrast,protected_boundary_residual,inverted_boundary_residual,protected_ocr,inverted_ocr,uniform_050_ocr
p000__s00,0.0026569664478302,-0.002397984266281128,0,-0.0009194078730352753,0.017705440521240234,0.007643088698387146,0.7136,0.7758,0.7887
p000__s01,0.036033302545547485,0.0037657618522644043,1,0.030018151278026355,0.01826341822743416,0.015598918311297894,0.4271,0.4412,0.4461
p000__s02,0.02590581774711609,0.003907233476638794,1,0.025336920284194736,0.0229379590600729,0.009925245307385921,0.3726,0.5292,0.5189
p000__s03,0.0003643929958343506,0.0075664222240448,1,0.008477132075668989,0.018763449043035507,0.014254987239837646,0.7593,0.765,0.7778
p000__s04,0.006903022527694702,0.006299704313278198,1,0.012550335441892775,0.019920339807868004,0.012940400280058384,0.4996,0.4407,0.5145
p000__s05,0.0022092461585998535,-0.003002554178237915,0,-0.0020999625704090767,0.019999558106064796,0.010531063191592693,0.4972,0.3228,0.3498
p000__s06,-0.004660159349441528,0.0057923197746276855,0,0.001829340034957291,0.02615945041179657,0.017371922731399536,0.4868,0.5878,0.5488
p000__s07,0.03366968035697937,0.005935341119766235,1,0.027187930702697077,0.01739528775215149,0.006597534287720919,0.3274,0.485,0.4401
p000__s08,-0.0042247474193573,-0.0019052773714065552,0,-0.006141768919687143,0.01347772590816021,0.007565412670373917,0.6193,0.7815,0.7125
p000__s09,-0.01505550742149353,0.005883246660232544,0,-0.01051542446558442,0.018818620592355728,0.011332920752465725,0.4968,0.5591,0.7305
p001__s00,-0.012007497251033783,-0.0006856247782707214,0,-0.025813040752251243,0.015079229138791561,0.008702387101948261,0.9583,0.9028,0.9306
p001__s01,-0.013039767742156982,-0.00011466443538665771,0,-0.018417628929905876,0.021514447405934334,0.01549282856285572,0.5,0.7986,0.3819
p001__s02,-0.00014938414096832275,0.0001483634114265442,0,7.984081707537716e-05,0.019367657601833344,0.009578807279467583,0.9583,0.9028,0.8806
p001__s03,-0.000655636191368103,0.0024676769971847534,0,0.0024916031310734544,0.01816692017018795,0.012966969050467014,0.9583,0.9722,0.9722
p001__s04,0.006557762622833252,0.0016182363033294678,1,0.011894131954426623,0.02017616108059883,0.016140509396791458,0.9583,0.8681,0.9583
p001__s05,0.003600507974624634,0.0007670372724533081,1,0.007625284621697065,0.017737677320837975,0.012056209146976471,0.9583,0.7986,0.9583
p001__s06,-0.005541905760765076,0.0017665177583694458,0,-0.005303039022413606,0.027207741513848305,0.019621005281805992,0.7625,0.6042,0.875
p001__s07,0.009517878293991089,0.00020226836204528809,1,0.013889444008361156,0.014830458909273148,0.00581348268315196,0.8181,0.7083,0.8583
p001__s08,-0.006305783987045288,0.00041209906339645386,0,-0.009230428183508192,0.012980705127120018,0.008963367901742458,0.9306,0.9167,0.9083
p001__s09,0.017833873629570007,0.0031470060348510742,1,0.022725695771737893,0.02235233038663864,0.017672622576355934,0.8958,0.8333,0.8125
p002__s00,0.01098082959651947,-0.0010416805744171143,0,0.01010991400187819,0.01601775735616684,0.009423373267054558,0.8452,0.8552,0.888
p002__s01,0.0636124461889267,-0.0004053860902786255,0,0.05868305282404363,0.026969438418745995,0.02020157314836979,0.1389,0.1389,0.3933
p002__s02,0.04834628105163574,0.0009596645832061768,1,0.03923344626143176,0.031118115410208702,0.01310703530907631,0.7049,0.3433,0.3433
p002__s03,-0.012279108166694641,-0.000394970178604126,0,-0.02113894968799754,0.01935223489999771,0.013910818845033646,0.8889,0.881,0.8138
p002__s04,-0.014397159218788147,-0.0011911988258361816,0,-0.023320480917419954,0.01592886634171009,0.01437700167298317,0.8889,0.8214,0.8752
p002__s05,0.014207422733306885,0.0002878159284591675,1,0.014129044202564882,0.019206082448363304,0.013167031109333038,0.8016,0.3452,0.7901
p002__s06,-0.008444473147392273,0.0017093643546104431,0,-0.012361524576746209,0.025290288031101227,0.01833214797079563,0.7524,0.7623,0.8665
p002__s07,0.04510653018951416,0.0009490251541137695,1,0.02995210635761555,0.02701525203883648,0.006563018541783094,0.7683,0.7024,0.6683
p002__s08,-0.004482105374336243,-0.0009583979845046997,0,-0.006049079041496254,0.0158449225127697,0.011251278221607208,0.8139,0.8483,0.6262
p002__s09,0.011090502142906189,0.003367096185684204,1,0.022243615869028694,0.022277923300862312,0.014948214404284954,0.8457,0.7413,0.8294
p003__s00,0.024746477603912354,0.002431899309158325,1,0.02176735918972027,0.018613481894135475,0.009394877590239048,0.4464,0.5249,0.5097
p003__s01,0.07143333554267883,0.005164533853530884,1,0.055479018460106284,0.026258353143930435,0.0245536919683218,0.4004,0.2803,0.2657
p003__s02,0.046496063470840454,0.00711137056350708,1,0.036001498640426954,0.025764459744095802,0.011483565904200077,0.4199,0.3837,0.3988
p003__s03,0.0030113160610198975,-0.0030763447284698486,0,0.000345918986242243,0.017885250970721245,0.013539002276957035,0.5325,0.5038,0.5628
p003__s04,0.006400942802429199,-5.361437797546387e-05,0,0.006228763969312872,0.020533716306090355,0.012461560778319836,0.5628,0.5097,0.5097
p003__s05,0.02928704023361206,0.002376854419708252,1,0.024317640704557282,0.020366929471492767,0.011739687994122505,0.3858,0.2159,0.4719
p003__s06,-0.0008371174335479736,0.0008505880832672119,0,-7.681483347866762e-05,0.028393009677529335,0.018627867102622986,0.4838,0.4194,0.5628
p003__s07,0.04340922832489014,0.004969775676727295,1,0.02578490871576198,0.023237431421875954,0.0073026446625590324,0.4345,0.2446,0.5027
p003__s08,0.007877439260482788,0.0013340115547180176,1,0.007180876902696463,0.0157895777374506,0.009631609544157982,0.4719,0.5195,0.4118
p003__s09,-0.005232378840446472,-0.0037371665239334106,0,-0.014211350041995995,0.019350886344909668,0.012017804197967052,0.5476,0.487,0.1667
p004__s00,0.023783892393112183,0.004015505313873291,1,0.021706272126782326,0.028869932517409325,0.012138250283896923,0.3342,0.3847,0.3565
p004__s01,0.05997493863105774,0.006726443767547607,1,0.048846030771867416,0.02879951521754265,0.026690255850553513,0.2074,0.175,0.1667
p004__s02,0.03460460901260376,0.008025944232940674,1,0.029978532078397947,0.031224677339196205,0.013670766726136208,0.3493,0.2785,0.1982
p004__s03,0.005017206072807312,-0.0006062686443328857,0,0.005110390365072405,0.030533339828252792,0.020009951665997505,0.4443,0.3996,0.4021
p004__s04,0.012626856565475464,0.00018745660781860352,1,0.011815591717032566,0.02766764536499977,0.01609266921877861,0.3713,0.4399,0.4542
p004__s05,0.030518293380737305,0.0038160085678100586,1,0.026604303423132823,0.031149880960583687,0.013571184128522873,0.385,0.2841,0.3812
p004__s06,0.010488584637641907,0.0033839046955108643,1,0.014349373202005276,0.03868423029780388,0.02320132963359356,0.502,0.3222,0.3612
p004__s07,0.04368796944618225,0.006294608116149902,1,0.028030594924717926,0.02731751650571823,0.00862444844096899,0.3815,0.4199,0.3839
p004__s08,0.01185840368270874,0.004378616809844971,1,0.012248423436692005,0.019555093720555305,0.011946460232138634,0.37,0.3895,0.3856
p004__s09,0.007574751973152161,-0.006491675972938538,0,0.0003275638482550889,0.027490606531500816,0.015152161940932274,0.3931,0.2995,0.2961
p005__s00,0.02635207772254944,0.002835690975189209,1,0.02550046115664206,0.015255095437169075,0.006946655921638012,0.8148,0.8889,0.8593
p005__s01,0.05461534857749939,0.005659520626068115,1,0.0539479931832362,0.017490990459918976,0.01960064098238945,0.8222,0.8176,0.8222
p005__s02,0.042557358741760254,0.0065708160400390625,1,0.03737873627944867,0.023808946833014488,0.011017216369509697,0.8519,0.5556,0.8259
p005__s03,-0.002071186900138855,-0.0021755099296569824,0,-0.0049438267901652545,0.01904321275651455,0.013823808170855045,0.8148,0.8009,0.8426
p005__s04,0.0023598819971084595,-0.0004602372646331787,0,0.0023536357026116223,0.02548893354833126,0.015113431960344315,0.8148,0.6972,0.8472
p005__s05,0.028613537549972534,0.002553015947341919,1,0.02691121015912112,0.01649480313062668,0.009112920612096786,0.8148,0.9259,0.8519
p005__s06,0.004295095801353455,0.001039952039718628,1,0.0070233766125625905,0.027563704177737236,0.01923428848385811,0.7481,0.5722,0.7852
p005__s07,0.041684091091156006,0.005605578422546387,1,0.028425384271875832,0.018269313499331474,0.006071531679481268,0.8222,0.8889,0.7852
p005__s08,0.015578538179397583,0.0028336644172668457,1,0.015793718935413842,0.013155931606888771,0.007628937251865864,0.7593,0.8009,0.963
p005__s09,0.004994511604309082,-0.0001531839370727539,0,0.00804455255633716,0.018857194110751152,0.010617502965033054,0.8519,0.8889,0.8889
p006__s00,0.006827026605606079,-0.0009183883666992188,0,0.0046675413952340355,0.01515717338770628,0.007199064362794161,0.5714,0.5714,0.5714
p006__s01,0.03796568512916565,0.000955432653427124,1,0.027301871017877007,0.022603141143918037,0.019035078585147858,0.4786,0.5143,0.4786
p006__s02,0.02804464101791382,0.001522451639175415,1,0.021545515182253533,0.027382927015423775,0.011263012886047363,0.3643,0.3714,0.3714
p006__s03,-0.005183413624763489,0.0005666613578796387,0,-0.004544322370286561,0.018580997362732887,0.01454236637800932,0.6,0.4429,0.5857
p006__s04,-0.0062715113162994385,0.0009580105543136597,0,-0.004730773947995852,0.01443877536803484,0.01255092304199934,0.5286,0.5643,0.5286
p006__s05,0.017219483852386475,-0.0004049837589263916,0,0.012955595034625034,0.020530398935079575,0.011530116200447083,0.4929,0.4929,0.4452
p006__s06,-0.01979812979698181,0.0017760097980499268,0,-0.01943523492442164,0.02571084536612034,0.019324246793985367,0.4571,0.3714,0.4571
p006__s07,0.04443058371543884,0.0018574297428131104,1,0.02725036888122366,0.03685563802719116,0.007062958087772131,0.3714,0.3714,0.3714
p006__s08,-0.0003369748592376709,-0.000891953706741333,0,-0.0013414464877904051,0.018447676673531532,0.00861867144703865,0.5286,0.4929,0.5286
p006__s09,-0.014912053942680359,0.0005064904689788818,0,-0.01712951289394026,0.01715744286775589,0.013035660609602928,0.5643,0.4214,0.5786
p007__s00,0.0034297704696655273,0.0031395554542541504,1,0.011584448080181114,0.015765564516186714,0.008420134894549847,0.6387,0.6273,0.6645
p007__s01,-0.008026301860809326,0.003272607922554016,0,-0.00503373033971718,0.01927870884537697,0.01640024036169052,0.6577,0.747,0.7286
p007__s02,0.010885760188102722,0.0013612806797027588,1,0.017883060849079365,0.01963193342089653,0.009639814496040344,0.656,0.5206,0.6232
p007__s03,0.006087690591812134,0.013646036386489868,1,0.022047677410415738,0.018213216215372086,0.01430865190923214,0.6867,0.7583,0.7685
p007__s04,0.012513011693954468,0.010316804051399231,1,0.02669092958870178,0.01774710975587368,0.01510778907686472,0.7394,0.7224,0.7619
p007__s05,0.012312740087509155,0.004354760050773621,1,0.023323471153360895,0.01853533647954464,0.011841729283332825,0.5692,0.594,0.627
p007__s06,-0.0012859702110290527,0.008959591388702393,0,0.006728205177689027,0.027194544672966003,0.01912260800600052,0.604,0.5934,0.6282
p007__s07,0.014141827821731567,0.0011347383260726929,1,0.017281581011712177,0.019129125401377678,0.00581021886318922,0.5995,0.5102,0.5196
p007__s08,-0.0018870383501052856,0.0038707107305526733,0,0.0037559649393348635,0.014216961339116096,0.011111961677670479,0.6463,0.7599,0.7756
p007__s09,0.021894380450248718,0.013982325792312622,1,0.033216423448872705,0.020179031416773796,0.012689261697232723,0.623,0.6952,0.6129
p008__s00,0.00974757969379425,0.0004364028573036194,1,0.030900989540938326,0.016162851825356483,0.0073562380857765675,0.9375,0.9097,0.9375
p008__s01,0.04272644966840744,0.0005264505743980408,1,0.09507489374449277,0.019060887396335602,0.014786722138524055,0.6597,0.5819,0.5819
p008__s02,0.03321211785078049,0.0020188838243484497,1,0.0801432869840892,0.021357784047722816,0.009264418855309486,0.9097,0.8681,0.8681
p008__s03,0.004766508936882019,0.008573457598686218,1,0.027178142155716623,0.01840141788125038,0.013022876344621181,0.8472,0.6875,0.8472
p008__s04,0.010562725365161896,0.006363183259963989,1,0.037016277801675594,0.016230078414082527,0.010542511940002441,0.9375,0.8542,0.9722
p008__s05,0.01771366596221924,0.004252001643180847,1,0.048182044888260056,0.019332071766257286,0.00953115988522768,0.7847,0.6319,0.6597
p008__s06,0.009253092110157013,0.0069446563720703125,1,0.03075607220463817,0.02556014060974121,0.018175525590777397,0.7847,0.7431,0.7847
p008__s07,0.037992075085639954,0.0027914047241210938,1,0.051167287171753485,0.019264133647084236,0.005096605978906155,0.875,0.7847,0.7569
p008__s08,0.0028642863035202026,0.003061063587665558,1,0.015158147959798652,0.012696796096861362,0.007780357729643583,0.8472,0.7847,0.8472
p008__s09,0.020026355981826782,0.010199680924415588,1,0.04188169950136468,0.018880289047956467,0.010437306016683578,0.9375,0.9167,0.9097
p009__s00,0.018273919820785522,0.0001595020294189453,1,0.012660769256759045,0.020036838948726654,0.009394542314112186,0.6203,0.5305,0.5631
p009__s01,0.05954882502555847,0.0024876296520233154,1,0.040330549139461,0.021661987528204918,0.020747678354382515,0.0667,0.4105,0.3743
p009__s02,0.04069828987121582,0.005586951971054077,1,0.027441663516221054,0.026049507781863213,0.012492971494793892,0.4386,0.3477,0.4344
